timestamp,process_load,system_load,ram_usage,platform[0],platform[1],platform[2],platform[3],platform[4]
564919430,0.8231988,0.8231988,0.7759535,78,85,84,84,88
565420312,0.80487484,0.80487484,0.77476376,78,85,84,84,88
565919155,0.8091818,0.8091818,0.77476376,78,85,84,84,88
566419094,0.8054886,0.8054886,0.77476376,78,85,84,84,88
566919086,0.7986359,0.7986359,0.77476376,78,85,84,84,88
567419405,0.8106711,0.8106711,0.77530766,78,85,84,84,88
567920663,0.8049758,0.8049758,0.7755456,78,85,84,84,88
568419364,0.81067026,0.81067026,0.77605546,78,85,84,84,88
568919146,0.8131578,0.8131578,0.77605546,78,85,84,84,88
569419219,0.81046426,0.81046426,0.77605546,78,85,84,84,88
569919175,0.8106468,0.8106468,0.77605546,78,85,84,84,88
570419449,0.81232214,0.81232214,0.77605546,78,85,84,84,88
570919108,0.8098651,0.8098651,0.77605546,78,85,84,84,88
571419750,0.80988544,0.80988544,0.77605546,78,85,84,84,88
571919223,0.80498624,0.80498624,0.77605546,78,85,84,84,88
572419068,0.80971205,0.80971205,0.77605546,78,85,84,84,88
572920082,0.8063216,0.8063216,0.77605546,78,85,84,84,88
573421147,0.8058484,0.8058484,0.77605546,78,85,84,84,88
573919634,0.806813,0.806813,0.77605546,78,85,84,84,88
574419883,0.8132118,0.8132118,0.77605546,78,85,84,84,88
574919151,0.8151079,0.8151079,0.77605546,78,85,84,84,88
575419520,0.8059168,0.8059168,0.77605546,78,85,84,84,88
575919317,0.81952596,0.81952596,0.77605546,78,85,84,84,88
576419175,0.81335795,0.81335795,0.77605546,78,85,84,84,88
576919096,0.809172,0.809172,0.77605546,78,85,84,84,88
577419262,0.8109956,0.8109956,0.77605546,78,85,84,84,88
577919702,0.80586785,0.80586785,0.77605546,78,85,84,84,88
578420347,0.81072164,0.81072164,0.77605546,78,85,84,84,88
578919107,0.8071028,0.8071028,0.77605546,78,85,84,84,88
579419228,0.80872965,0.80872965,0.77605546,78,85,84,84,88
579919554,0.8085613,0.8085613,0.77605546,78,85,84,84,88
580419281,0.8129489,0.8129489,0.77605546,78,85,84,84,88
580919424,0.8095908,0.8095908,0.77605546,78,85,84,84,88
581419579,0.811836,0.811836,0.77605546,78,85,84,84,88
581919246,0.8115455,0.8115455,0.77605546,78,85,84,84,88
582419093,0.811122,0.811122,0.77605546,78,85,84,84,88
582919853,0.8078428,0.8078428,0.77605546,78,85,84,84,88
583419635,0.8068683,0.8068683,0.77605546,78,85,84,84,88
583919715,0.80891705,0.80891705,0.77605546,78,85,84,84,88
584419065,0.80799437,0.80799437,0.77605546,78,85,84,84,88
584919317,0.80876833,0.80876833,0.77605546,78,85,84,84,88
585419065,0.80824155,0.80824155,0.77605546,78,85,84,84,88
585919099,0.8117966,0.8117966,0.77605546,78,85,84,84,88
586419311,0.8099839,0.8099839,0.77605546,78,85,84,84,88
586919137,0.8100928,0.8100928,0.77605546,78,85,84,84,88
587419065,0.80963653,0.80963653,0.77605546,78,85,84,84,88
587919683,0.80443335,0.80443335,0.77605546,78,85,84,84,88
588419104,0.81175745,0.81175745,0.77605546,78,85,84,84,88
588919157,0.8085426,0.8085426,0.77605546,78,85,84,84,88
589420105,0.80687785,0.80687785,0.77605546,78,85,84,84,88
589920281,0.80632454,0.80632454,0.77605546,78,85,84,84,88
590419097,0.8106558,0.8106558,0.77605546,78,85,84,84,88
590919146,0.8039838,0.8039838,0.77605546,78,85,84,84,88
591419275,0.7998651,0.7998651,0.77605546,78,85,84,84,88
591919139,0.81136304,0.81136304,0.77605546,78,85,84,84,88
592419093,0.8107656,0.8107656,0.77605546,78,85,84,84,88
592919369,0.8153511,0.8153511,0.77605546,78,85,84,84,88
593419161,0.8124676,0.8124676,0.77605546,78,85,84,84,88
593920289,0.80573046,0.80573046,0.77605546,78,85,84,84,88
594419082,0.802956,0.802956,0.77605546,78,85,84,84,88
594920040,0.8116684,0.8116684,0.77605546,78,85,84,84,88
595419853,0.8063511,0.8063511,0.77605546,78,85,84,84,88
595920569,0.8111431,0.8111431,0.77605546,78,85,84,84,88
596419067,0.80305886,0.80305886,0.77605546,78,85,84,84,88
596919344,0.8095646,0.8095646,0.77605546,78,85,84,84,88
597419449,0.8089977,0.8089977,0.77605546,78,85,84,84,88
597919067,0.80677605,0.80677605,0.77605546,78,85,84,84,88
598419704,0.80647635,0.80647635,0.77605546,78,85,84,84,88
598919095,0.80452704,0.80452704,0.77605546,78,85,84,84,88
599419076,0.8062457,0.8062457,0.77605546,78,85,84,84,88
599919451,0.8044845,0.8044845,0.77605546,78,85,84,84,88
600419089,0.8060464,0.8060464,0.77605546,78,85,84,84,88
600919318,0.80603397,0.80603397,0.77605546,78,85,84,84,88
601419068,0.80053544,0.80053544,0.77605546,78,85,84,84,88
601920048,0.80642664,0.80642664,0.77605546,78,85,84,84,88
602420388,0.80764115,0.80764115,0.77605546,78,85,84,84,88
602919120,0.8086941,0.8086941,0.77605546,78,85,84,84,88
603419736,0.8118926,0.8118926,0.77605546,78,85,84,84,88
603919110,0.8072853,0.8072853,0.77605546,78,85,84,84,88
604419096,0.8131921,0.8131921,0.77605546,78,85,84,84,88
604919123,0.8068737,0.8068737,0.77605546,78,85,84,84,88
605419131,0.80715513,0.80715513,0.77605546,78,85,84,84,88
605920060,0.81198716,0.81198716,0.77605546,78,85,84,84,88
606419065,0.81226647,0.81226647,0.77605546,78,85,84,84,88
606919092,0.8114474,0.8114474,0.77605546,78,85,84,84,88
607419179,0.8098638,0.8098638,0.77605546,78,85,84,84,88
607919118,0.79711497,0.79711497,0.77605546,78,85,84,84,88
608419817,0.80152315,0.80152315,0.77605546,78,85,84,84,88
608920901,0.8014494,0.8014494,0.77605546,78,85,84,84,88
609419102,0.807885,0.807885,0.77605546,78,85,84,84,88
609919144,0.8058758,0.8058758,0.77605546,78,85,84,84,88
610419119,0.8054124,0.8054124,0.77605546,78,85,84,84,88
610919334,0.81031954,0.81031954,0.77605546,78,85,84,84,88
611419068,0.8097507,0.8097507,0.77605546,78,85,84,84,88
611919124,0.80680025,0.80680025,0.77605546,78,85,84,84,88
612419375,0.8116379,0.8116379,0.77605546,78,85,84,84,88
612919131,0.8108041,0.8108041,0.77605546,78,85,84,84,88
613419834,0.8088919,0.8088919,0.77605546,78,85,84,84,88
613919069,0.80539143,0.80539143,0.77605546,78,85,84,84,88
614419174,0.81605226,0.81605226,0.77605546,78,85,84,84,88
614919670,0.8079229,0.8079229,0.77605546,78,85,84,84,88
615420326,0.81074804,0.81074804,0.77605546,78,85,84,84,88
615921195,0.8098019,0.8098019,0.77605546,78,85,84,84,88
616419105,0.8066623,0.8066623,0.77605546,78,85,84,84,88
616919069,0.81021005,0.81021005,0.77605546,78,85,84,84,88
617419221,0.9455876,0.9455876,0.77605546,78,85,84,84,88
