Unnamed: 0,timestamp,device_id,AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
0,603047200,2490386,0.48961425,0.170946,-10.35588,0.0042633996,-0.0053958655,0.020217841,39.95773
1,603048444,2490386,0.59017074,1.0919954,-10.051098,0.012350536,-0.045012176,0.05799556,39.91546
2,603049648,2490386,-0.44556093,0.09983821,-10.700167,0.018872205,-0.045065466,0.07444295,39.794685
3,603050890,2490386,-0.98617166,-1.564132,-11.006385,0.045824885,-0.016947014,0.046144642,39.830917
4,603052174,2490386,-0.13599066,0.3963601,-8.540895,0.0017053599,-0.022163017,0.06618262,39.855072
5,603053398,2490386,-0.23942018,0.53678,-10.534727,-0.011264701,-0.026473047,0.07961899,39.86111
6,603054583,2490386,-0.72496426,0.4213795,-10.539994,0.024168147,-0.013629556,0.06888721,39.758453
7,603055849,2490386,-0.3878607,0.43239284,-9.218874,0.02141026,-0.005762251,0.050887674,39.8128
8,603057056,2490386,-0.09672575,0.22146367,-9.1784115,-0.0174866,0.0036438745,0.06034709,39.91546
9,603058282,2490386,0.18171991,-0.2786851,-10.820355,-0.058708347,0.009033078,0.029617306,39.830917
10,603059515,2490386,0.45537716,0.8614338,-10.868718,0.023701837,-0.0003730475,0.03011026,39.77053
11,603060777,2490386,-0.1067814,1.2943054,-9.680955,-0.0502415,-0.018699005,0.06462381,39.758453
12,603062076,2490386,-1.8880675,-0.818817,-11.0935335,-0.024367994,0.007960566,0.025933461,39.764492
13,603063261,2490386,-0.0081402855,-3.2515655,-9.617029,0.018172741,0.019411791,0.025407199,39.746376
14,603064431,2490386,-0.5760449,2.3264458,-9.816466,-0.07436968,0.02439464,0.012397167,39.746376
15,603066914,2490386,1.087207,1.3204023,-9.971372,0.0016587289,0.015021822,0.005509112,39.710144
16,603069357,2490386,-0.59783214,-1.2744336,-10.0092,0.0123905055,0.008353599,-0.06510345,39.806763
17,603073137,2490386,-0.61530983,-0.5224148,-12.115379,0.021570139,-0.01969824,-0.039249923,39.81884
18,603076840,2490386,-0.39767691,0.2612074,-10.225636,-0.05591049,-0.0045565083,-0.020890659,39.81884
19,603080483,2490386,-0.4192247,1.5033193,-8.295191,-0.044552527,0.02567366,0.018272664,39.746376
20,603084182,2490386,-0.07062895,1.117374,-9.260533,-0.034766693,-0.035026494,0.032608345,39.788647
21,603086657,2490386,-0.4118027,0.5353435,-9.833466,-0.0111181475,-0.016340813,0.044279404,39.800724
22,603090355,2490386,-0.541329,-1.6251842,-10.526587,0.019778177,-0.04196118,0.055790585,39.740337
23,603096601,2490386,0.59615624,-0.88585466,-9.653421,-0.04158813,-0.019418454,0.029883768,39.806763
24,603097772,2490386,-0.18770541,-0.13455413,-9.980709,-0.059128024,-0.015441501,0.03646539,39.782608
25,603101526,2490386,-0.063206926,-0.66774285,-10.185174,-0.02639311,-0.02631317,0.0066215927,39.698067
26,603106449,2490386,-0.26958713,0.8698135,-10.248381,-0.0060886675,-0.04050896,-0.022309572,39.81884
27,603107681,2490386,-0.6380548,1.5064317,-11.056184,-0.033354443,0.0034640124,-0.007880628,39.830917
28,603111447,2490386,-0.6588843,1.5157691,-10.289321,-0.05851516,-0.016600613,0.0057289433,39.7343
29,603116297,2490386,-0.2506729,-2.1976378,-11.071028,-0.0015921133,-0.008600077,0.006135299,39.81884
30,603118782,2490386,-0.44364557,0.10175357,-9.964907,-0.020317765,-0.011964166,0.03309464,39.830917
31,603122486,2490386,-0.60956377,0.26408046,-11.461761,0.00089931086,-0.014388974,0.043673202,39.788647
32,603126221,2490386,-0.18794483,0.12545617,-10.822749,-0.029843798,-0.0058222055,0.04763683,39.82488
33,603128721,2490386,-0.05889736,0.9605537,-9.1415415,-0.016107658,-0.007314395,0.03041003,39.855072
34,603132472,2490386,-0.24061728,1.62279,-7.801267,-0.03313461,-0.00882657,0.02703262,39.855072
35,603137416,2490386,-0.007182605,-1.2813767,-9.563878,-0.030863017,0.0015254978,-0.003697167,39.782608
36,603139963,2490386,0.96773636,-0.9279926,-11.412681,-0.046211258,0.039543033,-0.016047703,39.794685
37,603143546,2490386,0.4036624,-0.1625663,-10.661381,-0.035592727,0.021430245,0.008266998,39.885265
38,603147217,2490386,0.13838486,0.48769888,-9.277053,0.01692703,0.03910337,0.00041301685,39.927536
39,603149745,2490386,0.09983821,0.8511387,-10.2974615,0.019931395,0.032714933,0.007880628,39.758453
40,603153464,2490386,-0.26503813,-1.5064317,-11.725603,-0.02072412,-0.009059724,0.02703928,39.81884
41,603157057,2490386,0.809719,-1.8964472,-11.236707,-0.02230291,-0.018226033,0.0585085,39.800724
42,603160782,2490386,0.19440918,0.009097966,-10.253169,-0.014075881,-0.0349732,0.031022895,39.855072
43,603165726,2490386,0.10151415,-0.121146604,-11.359051,-0.04371317,-0.0037371363,0.02465444,39.849033
44,603168173,2490386,-0.6988675,-0.061770406,-9.770258,-0.024727719,-0.00034640124,-0.0006328484,39.788647
45,603170702,2490386,1.0711658,-1.3208811,-11.492408,-0.024661103,-0.013443032,0.004623124,39.82488
46,603175600,2490386,-0.19919759,1.0627861,-9.845436,0.01061853,-0.038457196,0.007101225,39.86715
47,603178069,2490386,0.046686932,0.78697413,-9.05128,-0.030050308,-0.01552144,0.0077940277,39.704105
48,603181761,2490386,-0.67133415,-1.2638991,-8.936598,0.00019984687,-0.022229632,0.00818706,39.794685
49,603185523,2490386,-0.3406949,-0.517387,-10.807666,0.041694716,-0.01036539,0.015561409,39.86715
50,603189203,2490386,1.1085154,-0.3514688,-11.032721,-0.034307044,0.00562902,0.028544793,39.7343
51,603191637,2490386,-0.69719154,0.09528923,-9.870815,0.0010525268,-0.0067015314,0.029324196,39.806763
52,603195362,2490386,1.1666945,1.7671603,-10.738953,-0.02477435,-0.018232696,0.022496095,39.855072
53,603199081,2490386,-0.6825869,-0.047165774,-9.150878,-0.028478177,-0.039416462,0.011697703,39.806763
54,603202789,2490386,-0.91530335,-0.8190564,-11.770135,-0.016114319,-0.023895023,-0.0017986217,39.752415
55,603206598,2490386,0.07038953,0.13144167,-11.113884,-0.05838859,0.017626494,1.9984687e-05,39.710144
56,603210176,2490386,0.40222588,-1.2550405,-9.470505,-0.04687075,0.0025513782,0.011764319,39.77053
57,603212653,2490386,0.03878607,0.8010999,-11.527842,0.0025047474,-0.014762022,0.029564012,39.885265
58,603216382,2490386,-0.6856994,0.044053312,-10.620918,-0.024627795,-0.015974427,0.020910643,39.7343
59,603220155,2490386,-0.71059906,0.0557849,-8.72088,0.00951271,-0.013842726,0.053832084,39.927536
60,603226277,2490386,0.0009576807,0.9588778,-10.7401495,-0.031196095,-0.0033507657,0.027512252,39.794685
61,603227507,2490386,-0.398874,0.6409278,-10.462183,-0.036785144,0.023042344,0.022442803,39.806763
62,603231241,2490386,0.45418006,-0.46806642,-7.876684,-0.023761792,-0.008087137,-0.0034107198,39.81884
63,603236218,2490386,0.05147534,-0.0878672,-9.176018,-0.010005666,-0.004196784,0.0,39.758453
64,603237396,2490386,0.20135237,0.6727707,-10.318051,-0.05376547,-0.009872435,-0.012830169,39.81884
65,603241093,2490386,0.22876598,-0.15095443,-9.128732,-0.029970368,-0.0033441042,0.0015055131,39.91546
66,603244804,2490386,-0.059376203,0.79583263,-9.242577,0.007134533,-0.008620061,0.013329786,39.7343
67,603248464,2490386,0.12641385,0.11420342,-11.009258,-0.015268301,-0.019325191,0.011964166,39.673912
68,603252176,2490386,-0.5884948,0.53701943,-9.166202,-0.01624089,-0.0136895105,0.030416692,39.855072
69,603255914,2490386,-1.37092,0.36391866,-9.494207,-0.0029377488,-0.016454058,0.037844334,39.764492
70,603258345,2490386,0.7493851,0.089303724,-9.622776,-0.025453828,-0.0049228943,0.023841731,39.72222
71,603262056,2490386,-0.37780502,0.41156328,-8.897572,-0.01308997,-0.006754824,0.015501455,39.758453
72,603265857,2490386,-0.21212627,0.22481555,-10.356599,0.020417688,-0.014835299,0.02093729,39.836956
73,603269467,2490386,1.2356476,0.5281609,-10.033381,-0.012770214,-0.009472742,-0.0075675347,39.752415
74,603274466,2490386,-0.3239355,-0.26791117,-11.100956,0.00614196,-0.018206049,-0.010332082,39.81884
75,603275719,2490386,-0.23630771,-0.59495914,-9.718065,-0.008373584,-0.03108951,-0.0052692955,39.72222
76,603279332,2490386,-0.18818426,0.5839458,-10.445184,-0.009272895,-0.00477634,0.004516539,39.81884
77,603284285,2490386,0.45777136,-0.6639121,-10.35205,0.011531164,-0.011731011,0.02341539,39.698067
78,603286764,2490386,-1.3730747,1.1899183,-10.341036,-0.05913469,-0.025693646,0.043566614,39.667873
79,603290452,2490386,0.0014365211,-0.63470286,-10.358514,0.00021316999,-0.028857887,0.043639895,39.945652
80,603294176,2490386,0.40653545,-0.8552089,-9.545203,0.02294908,-0.009133002,0.043173585,39.740337
81,603296720,2490386,-1.3560759,0.7402872,-10.332177,-0.020757427,0.0081803985,0.027685452,39.72222
82,603300403,2490386,-0.23989901,0.5616797,-9.512163,-0.0019385145,0.008220368,0.014528867,39.704105
83,603304053,2490386,-0.3383007,1.202847,-9.598354,0.00127902,0.03201547,0.00916631,39.8128
84,603307812,2490386,-0.05626374,0.6742072,-9.664913,-0.027312405,0.013076646,0.0043300153,39.7343
85,603311520,2490386,-0.4355053,-0.01388637,-10.13298,-0.052180015,-0.0173134,-0.010312098,39.77657
86,603315206,2490386,-0.09648633,-0.09720459,-10.560823,-0.028005207,-0.010998239,0.0026513017,39.746376
87,603317772,2490386,-0.49464208,0.53366756,-9.924685,-0.047350384,-0.0029444105,0.037291426,39.746376
88,603321383,2490386,-0.1352724,-0.40438068,-9.919896,-0.06750827,-0.004363323,0.024661103,39.710144
89,603326332,2490386,0.6112397,-1.184651,-11.022186,-0.05565069,0.0023049004,0.029190965,39.836956
90,603328771,2490386,-0.83342165,-0.911712,-11.223538,0.033527642,-0.026193263,0.026000077,39.806763
91,603333788,2490386,-0.25617957,-1.3742718,-10.411904,0.03369418,-0.014582159,0.009412787,39.82488
92,603336282,2490386,-0.14652514,-0.22122423,-10.594582,-0.05509112,0.017986218,0.020137902,39.830917
93,603338784,2490386,-0.18531121,0.51666874,-9.915586,0.03761784,-0.025313936,-0.003996937,39.82488
94,603343573,2490386,0.24851814,0.031124622,-9.738176,0.01565467,-0.029950384,-0.011477872,39.67995
95,603346047,2490386,-0.023942018,1.0745177,-9.937853,-0.025700307,-0.0017320062,0.012223966,39.855072
96,603349749,2490386,-0.06895301,0.5056554,-9.7719345,-0.08248346,0.008340276,0.013349771,39.72826
97,603353451,2490386,-0.34931403,-0.09744401,-10.083659,-0.02971723,-0.031822283,0.024234762,39.794685
98,603357162,2490386,-0.66056025,-0.13551182,-10.084617,-0.006861409,-0.049355514,0.036005743,39.806763
99,603359625,2490386,-0.17477673,-0.14867993,-10.684364,-0.036765162,-0.0030110262,0.03326784,39.64372
